feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Oceanospirillales.f__Oceanospirillaceae.g__Thalassolituus	Without_combined	MS2	0.683811149867766	0.0892480953173884	77	77	1.00210401648195e-08	1.61926282759292e-07
k__Bacteria.p__Firmicutes.c__Erysipelotrichia.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Allobaculum	Without_combined	MS2	0.694018568589686	0.0948497390186826	77	77	1.48361500884614e-08	1.61926282759292e-07
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Coriobacterium	Without_combined	MS2	0.689790908923079	0.0936937117668608	77	77	1.27141188189324e-08	1.61926282759292e-07
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Oceanospirillales.f__Oceanospirillaceae.g__Amphritea	Without_combined	MS2	0.683730029392433	0.0896846855498113	77	77	8.46979806206156e-09	1.61926282759292e-07
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Cellvibrionales.f__Cellvibrionaceae.g__Marinagarivorans	Without_combined	MS2	0.679595609849379	0.0886970215414736	77	22	5.62814626191494e-09	1.61926282759292e-07
k__Bacteria.p__Bacteroidetes.c__Sphingobacteriia.o__Sphingobacteriales.f__Sphingobacteriaceae.g__Solitalea	Without_combined	MS2	0.692841937093481	0.091253960996005	77	70	7.05468530310496e-09	1.61926282759292e-07
k__Archaea.p__Euryarchaeota.c__Thermoplasmata.o__Thermoplasmatales.f__Ferroplasmaceae.g__Ferroplasma	Without_combined	MS2	0.687236240753891	0.0948680846014559	77	77	1.74562432240343e-08	1.61926282759292e-07
k__Archaea.p__Crenarchaeota.c__Thermoprotei.o__Thermoproteales.f__Thermoproteaceae.g__Vulcanisaeta	Without_combined	MS2	0.679777871519543	0.0938465107674113	77	77	1.69884474440023e-08	1.61926282759292e-07
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Oceanospirillales.f__Oceanospirillaceae.g__Bermanella	Without_combined	MS2	0.684238220964093	0.0900631342958107	77	77	8.75414746456825e-09	1.61926282759292e-07
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Rhodobiaceae.g__Afifella	Without_combined	MS2	0.693529017718115	0.0911330368165779	77	77	6.79588334463287e-09	1.61926282759292e-07
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Planococcaceae.g__Rummeliibacillus	Without_combined	MS2	0.692431320602762	0.0947999503082631	77	77	1.51987635968241e-08	1.61926282759292e-07
k__Bacteria.p__Proteobacteria.c__Deltaproteobacteria.o__Desulfobacterales.f__Desulfobulbaceae.g__Desulfurivibrio	Without_combined	MS2	0.688718993983488	0.0933688322672629	77	77	1.21469987675378e-08	1.61926282759292e-07
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Salinibacillus	Without_combined	MS2	0.684657759521259	0.0934121532640305	77	77	1.35534869114617e-08	1.61926282759292e-07
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Pseudobutyrivibrio	Without_combined	MS2	0.684180290584446	0.0927126201867001	77	77	1.28536532734652e-08	1.61926282759292e-07
k__Bacteria.p__Thermotogae.c__Thermotogae.o__Kosmotogales.f__Kosmotogaceae.g__Mesotoga	Without_combined	MS2	0.688475944989392	0.0924914152794241	77	77	1.00851688185831e-08	1.61926282759292e-07
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales.f__Candidatus_Paracaedibacteraceae.g__Candidatus_Odyssella	Without_combined	MS2	0.689472127755683	0.0937437627518397	77	77	1.29492404174533e-08	1.61926282759292e-07
k__Bacteria.p__Firmicutes.c__Erysipelotrichia.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Holdemania	Without_combined	MS2	0.678670204425387	0.0888705797860632	77	77	5.95122854790343e-09	1.61926282759292e-07
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Oceanospirillales.f__Oceanospirillaceae.g__Balneatrix	Without_combined	MS2	0.682372365034243	0.0890838498970944	77	77	9.12964129767119e-09	1.61926282759292e-07
k__Bacteria.p__Proteobacteria.c__Epsilonproteobacteria.o__Campylobacterales.f__Helicobacteraceae.g__Sulfuricurvum	Without_combined	MS2	0.682465543170797	0.0884526887436981	77	77	5.01375986774135e-09	1.61926282759292e-07
