feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales.f__Candidatus_Paracaedibacteraceae.g__Candidatus_Odyssella	Without_combined	MS2	0.630466693316949	0.0940969719911912	77	77	1.06716202230103e-07	1.79651991218501e-06
k__Bacteria.p__Firmicutes.c__Erysipelotrichia.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Dielma	Without_combined	MS2	0.629981239035557	0.0951745828021502	77	77	1.33045286049366e-07	1.79651991218501e-06
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Terribacillus	Without_combined	MS2	0.632736375052477	0.0945536853524895	77	77	1.10777835435205e-07	1.79651991218501e-06
k__Archaea.p__Crenarchaeota.c__Thermoprotei.o__Acidilobales.f__Acidilobaceae.g__Acidilobus	Without_combined	MS2	0.629434235203665	0.0951698487927362	77	77	1.33352701061817e-07	1.79651991218501e-06
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Pseudonocardiales.f__Pseudonocardiaceae.g__Lentzea	Without_combined	MS2	0.852541713398764	0.117423117696703	77	76	1.44654084498371e-08	1.79651991218501e-06
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Methylophilales.f__Methylophilaceae.g__Candidatus_Methylopumilus	Without_combined	MS2	0.852917111966341	0.126766309195109	77	77	6.54977709970638e-08	1.79651991218501e-06
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Alteromonadales.f__Alteromonadaceae.g__Lacimicrobium	Without_combined	MS2	0.631287528463766	0.0947563322649456	77	77	1.18145698786076e-07	1.79651991218501e-06
k__Archaea.p__Euryarchaeota.c__Halobacteria.o__Natrialbales.f__Natrialbaceae.g__Halostagnicola	Without_combined	MS2	0.630672431345706	0.0949772870247966	77	71	1.28719850841596e-07	1.79651991218501e-06
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Eggerthellales.f__Eggerthellaceae.g__Adlercreutzia	Without_combined	MS2	0.632169308972666	0.0932029076244282	77	77	9.63648527525854e-08	1.79651991218501e-06
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Vibrionales.f__Vibrionaceae.g__Candidatus_Photodesmus	Without_combined	MS2	0.635757333138754	0.0929068564870459	77	8	9.5706357716545e-08	1.79651991218501e-06
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae.g__Nereida	Without_combined	MS2	0.631985032503001	0.0938980209083841	77	77	1.0032931370104e-07	1.79651991218501e-06
k__Bacteria.p__Synergistetes.c__Synergistia.o__Synergistales.f__Synergistaceae.g__Cloacibacillus	Without_combined	MS2	0.629893815507279	0.0952889614565821	77	77	1.36333726044995e-07	1.79651991218501e-06
k__Archaea.p__Thaumarchaeota.g__Candidatus_Nitrosotenuis	Without_combined	MS2	0.632062184715783	0.0950545888078088	77	77	1.22306236383368e-07	1.79651991218501e-06
k__Archaea.p__Crenarchaeota.c__Thermoprotei.o__Thermoproteales.f__Thermoproteaceae.g__Caldivirga	Without_combined	MS2	0.630516757174569	0.0952888913125901	77	77	1.31403582381071e-07	1.79651991218501e-06
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Subdoligranulum	Without_combined	MS2	0.62978768503708	0.094050648409559	77	77	1.10742508644772e-07	1.79651991218501e-06
