"","2031199_A5","B220819_C8","D15.01276.01","D18.02786.02","D19.01661.02","D20.00840.02","D21.00483.01","N181650.A7","N181650_A2","N190186.B1","N190393.A3","N191724.A2","N210403.B3","N211161.A4","N212541.A2","N220339.A4","X18.06732.02","X18.09852.02","X19.08326.02","Z0502927.A3","Z0520920.B3","Z0521061.B4","Z0521146.A2","Z0940919.A1","Z0952754.A2","a78804"
"Leptolyngbya_ANT.L52.2",0,0,0,0,0,0,0,0,0,0,0,0,0,92,52,0,0,0,0,0,0,0,0,0,28,0
"Unknown_Family",0,0,0,0,0,0,0,0,0,0,0,0,0,59,16,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria_Cyanobacteria_Cyanobacteriia_Pseudanabaenales_Pseudanabaenaceae_uncultured",0,0,0,0,0,0,0,0,0,0,0,0,0,64,74,0,0,0,0,0,0,0,0,0,11,0
"RD017",0,0,0,0,0,0,0,0,0,0,0,0,0,2,62,0,0,0,0,0,0,0,0,0,10,0
"Cyanobium_PCC-6307",0,0,0,0,10,0,0,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,0,0,0,0
"Prochlorococcus_MIT9313",33,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Synechococcus_CC9902",0,4,0,7,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,20,0,0,0,0,0,0
"Thermosynechococcus_BP-1",0,0,0,0,0,0,0,0,0,0,0,0,0,31,76,0,0,0,0,0,0,0,0,0,22,0
"Sericytochromatia",27,12,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gastranaerophilales",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
"Mucispirillum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,34,159,0,0,0,0,0
"Meiothermus",0,0,0,0,0,0,0,0,0,0,0,0,0,14,32,0,0,0,0,0,0,0,0,0,0,0
"Babeliaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,18,20,0,0,0,0,0,0,0,0,0,9,0
"Babeliales",0,0,0,0,0,0,0,0,0,0,0,0,0,30,2,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria_Desulfobacterota_Desulfobulbia_Desulfobulbales_Desulfocapsaceae_uncultured",11,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Desulfomicrobium",0,0,2,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bilophila",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,13,0
"Desulfovibrio",4,11,0,0,0,5,25,0,3,5,0,0,0,0,5,0,97,0,0,212,1925,7,0,5,0,27
"d__Bacteria_Desulfobacterota_Desulfovibrionia_Desulfovibrionales_Desulfovibrionaceae_uncultured",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,19,0,0,0,0,0
"Geobacter",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,5,0,0
"PB19",3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Syntrophus",0,0,5,0,0,0,0,0,0,0,7,0,0,8,0,0,0,5,0,0,0,0,0,0,77,0
"Endomicrobium",0,0,40,33,43,0,0,0,0,0,30,76,1626,0,40,30,0,0,0,0,0,0,0,0,0,11
"possible_genus_04",0,0,0,118,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3
"Anaeroplasma",0,0,0,0,0,0,0,0,11,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
"Tumebacillus",0,0,0,42,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aneurinibacillus",8,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anoxybacillus",25,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacillus",0,0,0,0,0,0,85,49,0,375,80,27,28,0,0,0,0,62,96,0,0,134,25,31,0,14
