feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Streptosporangiales.f__Nocardiopsaceae.g__Streptomonospora	Without_combined	MS2	0.748745455098366	0.096673959493025	77	77	5.54582119863597e-09	6.50234815766676e-08
k__Viruses.o__Caudovirales.f__Podoviridae.g__Phikmvlikevirus	Without_combined	MS2	0.765317322157302	0.0991091870785098	77	77	5.62875055432568e-09	6.53958473493474e-08
k__Archaea.p__Euryarchaeota.g__Aciduliprofundum	Without_combined	MS2	1.12431947331393	0.139430469564787	77	75	6.53986665784466e-09	7.5296843141671e-08
k__Bacteria.p__Bacteroidetes.c__Flavobacteriia.o__Flavobacteriales.f__Flavobacteriaceae.g__Gramella	Without_combined	MS2	0.761372146882269	0.100035048601556	77	77	6.99463286774619e-09	7.98137571873182e-08
k__Viruses.o__Caudovirales.f__Siphoviridae.g__L5likevirus	Without_combined	MS2	0.766658550381432	0.102015830904959	77	72	1.0094114235729e-08	1.14161752152758e-07
k__Bacteria.p__Cyanobacteria.o__Pleurocapsales.g__Stanieria	Without_combined	MS2	0.722249734155291	0.0996734613589654	77	75	2.09487065914316e-08	2.34846026524996e-07
k__Viruses.f__Mimiviridae.g__Mimivirus	Without_combined	MS2	0.720925127177613	0.0997147427003755	77	77	2.38013911014024e-08	2.64505894152977e-07
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Methylophilales.f__Methylophilaceae.g__Candidatus_Methylopumilus	Without_combined	MS2	0.984359799944835	0.130687943956418	77	77	2.76345709872491e-08	3.0445673898021e-07
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodospirillales.f__Rhodospirillaceae.g__Nisaea	Without_combined	MS2	0.984174521197157	0.131607302842571	77	77	2.92947282456732e-08	3.19988570068123e-07
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Coprobacter	Without_combined	MS2	0.980614030650499	0.133070760067638	77	77	3.12406293304856e-08	3.3835190071492e-07
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.g__Candidatus_Moranella	Without_combined	MS2	0.719110017833839	0.10167888830402	77	77	3.34211745072332e-08	3.58926563195328e-07
k__Archaea.p__Euryarchaeota.c__Halobacteria.o__Halobacteriales.f__Halobacteriaceae.g__Halanaeroarchaeum	Without_combined	MS2	0.765958786088237	0.108980470425768	77	77	3.86739029824568e-08	4.11877066763165e-07
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Gallionellales.f__Gallionellaceae.g__Gallionella	Without_combined	MS2	0.716092200706676	0.102314083685703	77	77	4.30189199975398e-08	4.54365121957487e-07
